;COUNTRY;CODES;IPUMS
1;Afghanistan;AFG;
2;Albania;ALB;
3;Algeria;DZA;
4;American Samoa;ASM;
5;Andorra;AND;
6;Angola;AGO;
7;Anguilla;AIA;
8;Antarctica;ATA;
9;Antigua and Barbuda;ATG;
10;Argentina;ARG;IPUMS
11;Armenia;ARM;IPUMS
12;Aruba;ABW;
13;Australia;AUS;
14;Austria;AUT;IPUMS
15;Azerbaijan;AZE;
16;Bahamas;BHS;
17;Bahrain;BHR;
18;Bangladesh;BGD;IPUMS
19;Barbados;BRB;
20;Belarus;BLR;IPUMS
21;Belgium;BEL;
22;Belize;BLZ;
23;Benin;BEN;IPUMS
24;Bermuda;BMU;
25;Bhutan;BTN;
26;Bolivia;BOL;IPUMS
27;Bosnia and Herzegovina;BIH;
28;Botswana;BWA;IPUMS
29;Brazil;BRA;IPUMS
30;British Indian Ocean Territory;IOT;
31;British Virgin Islands;VGB;
32;Brunei;BRN;
33;Bulgaria;BGR;
34;Burkina Faso;BFA;IPUMS
35;Burundi;BDI;
36;Cambodia;KHM;IPUMS
37;Cameroon;CMR;IPUMS
38;Canada;CAN;IPUMS
39;Cape Verde;CPV;
40;Cayman Islands;CYM;
41;Central African Republic;CAF;
42;Cocos Islands;CCK;
43;Colombia;COL;IPUMS
44;Comoros;COM;
45;Cook Islands;COK;
46;Costa Rica;CRI;IPUMS
47;Croatia;HRV;
48;Cuba;CUB;IPUMS
49;Curacao;CUW;
50;Cyprus;CYP;
51;Czech Republic;CZE;
52;Democratic Republic of the Congo;COD;
53;Denmark;DNK;IPUMS
54;Djibouti;DJI;
55;Dominica;DMA;
56;Dominican Republic;DOM;IPUMS
57;East Timor;TLS;
58;Ecuador;ECU;IPUMS
59;Egypt;EGY;IPUMS
60;El Salvador;SLV;IPUMS
61;Equatorial Guinea;GNQ;
62;Eritrea;ERI;
63;Estonia;EST;
64;Ethiopia;ETH;IPUMS
65;Falkland Islands;FLK;
66;Faroe Islands;FRO;
67;Fiji;FJI;IPUMS
68;Finland;FIN;IPUMS
69;France;FRA;IPUMS
70;French Polynesia;PYF;
71;Gabon;GAB;
72;Gambia;GMB;
73;Georgia;GEO;
74;Germany;DEU;IPUMS
75;Ghana;GHA;IPUMS
76;Gibraltar;GIB;
77;Greece;GRC;IPUMS
78;Greenland;GRL;
79;Grenada;GRD;
80;Guam;GUM;
81;Guatemala;GTM;IPUMS
82;Guernsey;GGY;
83;Guinea;GIN;IPUMS
84;Guinea-Bissau;GNB;
85;Guyana;GUY;
86;Haiti;HTI;IPUMS
87;Honduras;HND;IPUMS
88;Hong Kong;HKG;
89;Hungary;HUN;IPUMS
90;Chad;TCD;
91;Chile;CHL;IPUMS
92;China;CHN;IPUMS
93;Christmas Island;CXR;
94;Iceland;ISL;IPUMS
95;India;IND;
96;Indonesia;IDN;IPUMS
97;Iran;IRN;IPUMS
98;Iraq;IRQ;IPUMS
99;Ireland;IRL;IPUMS
100;Isle of Man;IMN;
101;Israel;ISR;IPUMS
102;Italy;ITA;IPUMS
103;Ivory Coast;CIV;
104;Jamaica;JAM;IPUMS
105;Japan;JPN;
106;Jersey;JEY;
107;Jordan;JOR;IPUMS
108;Kazakhstan;KAZ;
109;Kenya;KEN;IPUMS
110;Kiribati;KIR;
111;Kosovo;XKX;
112;Kuwait;KWT;
113;Kyrgyzstan;KGZ;IPUMS
114;Laos;LAO;IPUMS
115;Latvia;LVA;
116;Lebanon;LBN;
117;Lesotho;LSO;IPUMS
118;Liberia;LBR;IPUMS
119;Libya;LBY;
120;Liechtenstein;LIE;
121;Lithuania;LTU;
122;Luxembourg;LUX;
123;Macau;MAC;
124;Macedonia;MKD;
125;Madagascar;MDG;
126;Malawi;MWI;IPUMS
127;Malaysia;MYS;IPUMS
128;Maldives;MDV;
129;Mali;MLI;IPUMS
130;Malta;MLT;
131;Marshall Islands;MHL;
132;Mauritania;MRT;
133;Mauritius;MUS;IPUMS
134;Mayotte;MYT;
135;Mexico;MEX;IPUMS
136;Micronesia;FSM;
137;Moldova;MDA;
138;Monaco;MCO;
139;Mongolia;MNG;IPUMS
140;Montenegro;MNE;
141;Montserrat;MSR;
142;Morocco;MAR;IPUMS
143;Mozambique;MOZ;IPUMS
144;Myanmar;MMR;IPUMS
145;Namibia;NAM;
146;Nauru;NRU;
147;Nepal;NPL;IPUMS
148;Netherlands;NLD;IPUMS
149;Netherlands Antilles;ANT;
150;New Caledonia;NCL;
151;New Zealand;NZL;
152;Nicaragua;NIC;IPUMS
153;Niger;NER;
154;Nigeria;NGA;
155;Niue;NIU;
156;North Korea;PRK;
157;Northern Mariana Islands;MNP;
158;Norway;NOR;IPUMS
159;Oman;OMN;
160;Pakistan;PAK;IPUMS
161;Palau;PLW;
162;Palestine;PSE;IPUMS
163;Panama;PAN;IPUMS
164;Papua New Guinea;PNG;IPUMS
165;Paraguay;PRY;IPUMS
166;Peru;PER;IPUMS
167;Philippines;PHL;IPUMS
168;Pitcairn;PCN;
169;Poland;POL;IPUMS
170;Portugal;PRT;IPUMS
171;Puerto Rico;PRI;IPUMS
172;Qatar;QAT;
173;Republic of the Congo;COG;
174;Reunion;REU;
175;Romania;ROU;IPUMS
176;Russia;RUS;IPUMS
177;Rwanda;RWA;IPUMS
178;Saint Barthelemy;BLM;
179;Saint Helena;SHN;
180;Saint Kitts and Nevis;KNA;
181;Saint Lucia;LCA;IPUMS
182;Saint Martin;MAF;
183;Saint Pierre and Miquelon;SPM;
184;Saint Vincent and the Grenadines;VCT;
185;Samoa;WSM;
186;San Marino;SMR;
187;Sao Tome and Principe;STP;
188;Saudi Arabia;SAU;
189;Senegal;SEN;IPUMS
190;Serbia;SRB;
191;Seychelles;SYC;
192;Sierra Leone;SLE;IPUMS
193;Singapore;SGP;
194;Sint Maarten;SXM;
195;Slovakia;SVK;
196;Slovenia;SVN;IPUMS
197;Solomon Islands;SLB;
198;Somalia;SOM;
199;South Africa;ZAF;IPUMS
200;South Korea;KOR;
201;South Sudan;SSD;IPUMS
202;Spain;ESP;IPUMS
203;Sri Lanka;LKA;
204;Sudan;SDN;IPUMS
205;Suriname;SUR;IPUMS
206;Svalbard and Jan Mayen;SJM;
207;Swaziland;SWZ;
208;Sweden;SWE;IPUMS
209;Switzerland;CHE;IPUMS
210;Syria;SYR;
211;Taiwan;TWN;
212;Tajikistan;TJK;
213;Tanzania;TZA;IPUMS
214;Thailand;THA;IPUMS
215;Togo;TGO;IPUMS
216;Tokelau;TKL;
217;Tonga;TON;
218;Trinidad and Tobago;TTO;IPUMS
219;Tunisia;TUN;
220;Turkey;TUR;IPUMS
221;Turkmenistan;TKM;
222;Turks and Caicos Islands;TCA;
223;Tuvalu;TUV;
224;U.S. Virgin Islands;VIR;
225;Uganda;UGA;IPUMS
226;Ukraine;UKR;IPUMS
227;United Arab Emirates;ARE;
228;United Kingdom;GBR;IPUMS
229;United States;USA;IPUMS
230;Uruguay;URY;IPUMS
231;Uzbekistan;UZB;
232;Vanuatu;VUT;
233;Vatican;VAT;
234;Venezuela;VEN;IPUMS
235;Vietnam;VNM;IPUMS
236;Wallis and Futuna;WLF;
237;Western Sahara;ESH;
238;Yemen;YEM;
239;Zambia;ZMB;IPUMS
240;Zimbabwe;ZWE;IPUMS
